t,price,births,fertility_rate,young_share,old_share,theta,average_age,n_home,young_homeownership_proxy,old_homeownership_proxy,aggregate_homeownership_proxy,age_share_15,age_share_25,age_share_35,age_share_45,age_share_55,age_share_65,age_share_75,age_share_85,boom_generation_age,boom_generation_homeownership_proxy_level,boom_generation_housing_burden_proxy_level,parent_generation_age,parent_generation_homeownership_proxy_level,parent_generation_housing_burden_proxy_level,child_generation_age,child_generation_homeownership_proxy_level,child_generation_housing_burden_proxy_level,price_index,case
47,-0.562518548030633,0.08842706693704724,0.2461968098123118,0.1985330886661383,0.4422946417806548,0.9206355415946663,53.69153117096695,0.17723018949471805,0.461010246244574,0.742112013900387,0.5559774231048172,0.0961380818406397,0.10239500682549861,0.11069156116193274,0.11962517461732154,0.1288555337739525,0.13847920622586726,0.14802675101329285,0.15578868454149472,47.0,0.5672045002821199,0.5811479447012531,72.0,0.7421341534444543,0.5697722564796462,22.0,0.29972862091852287,0.5729472592723116,0.5697722564796462,baseline
48,-0.5558437552662836,0.08829104094239845,0.24586836655320943,0.19833319226972457,0.4425679851361497,0.9224629172878289,53.706360480197716,0.17698268264278139,0.46011041513189826,0.7419864522961381,0.5557791999117498,0.0960238351196424,0.10230935715008216,0.11063580174143663,0.11960006639808204,0.12886295445460716,0.13852625591201054,0.14812031375488507,0.1559214154692541,48.0,0.5855784492994225,0.5839413760537503,73.0,0.7387984759413014,0.5735880889929719,23.0,0.34246185716672384,0.5772349114302172,0.5735880889929719,baseline
49,-0.5488694121886062,0.0881495816201565,0.2455256515619113,0.19812180564714438,0.4428542754287311,0.9239379779449355,53.722039047464506,0.1767181078794457,0.4591706134744321,0.7418548992385422,0.5555725386002457,0.09590415339169597,0.10221765225544842,0.1105755772716393,0.11957476799041902,0.12887357366206623,0.1385747352667263,0.148213958139464,0.1560655820225408,49.0,0.6039355584583922,0.5869227148308084,74.0,0.7354633765065957,0.5776024716798229,24.0,0.3849809818081721,0.5817266128946622,0.5776024716798229,baseline
50,-0.5416456563283631,0.08800270842863585,0.24517118420926765,0.19790220888809656,0.44315386092506515,0.9252084838982199,53.73836035647223,0.17644062256255494,0.45819736767461744,0.7417188102627235,0.5553604954358228,0.09578024252249331,0.10212196636560324,0.11051078390216308,0.1195468048335235,0.12888634145115171,0.13862920837616202,0.14831188855101549,0.1562127639978876,50.0,0.6223128636666729,0.5900656242361292,75.0,0.7321298397041212,0.5817900376869115,25.0,0.4270122064058542,0.5863971999142933,0.5817900376869115,baseline
51,-0.5342019970573658,0.08785004616798817,0.24480646161203962,0.19767391723923938,0.44347098723142064,0.9263508431149204,53.755473337062355,0.17615229004879235,0.4571948354536909,0.7415789057065947,0.5551443079853263,0.09565125612555525,0.10202266111368413,0.11044266776128706,0.11951499001547738,0.12889743775257545,0.13868731168149087,0.14841767124371943,0.15636600430621037,51.0,0.6407436840210649,0.5933553540796624,76.0,0.7139677174622306,0.5861368424910021,26.0,0.4321143651026812,0.5921563463767097,0.5861368424910021,baseline
52,-0.5265575470485067,0.08769239630909952,0.24443246543287286,0.1974363431791678,0.44380445454464346,0.9272724512988222,53.77341780429856,0.17585275459662403,0.45616583556014834,0.7414353176341731,0.5549236292438626,0.09551713433126595,0.10191920884790184,0.1103720269737326,0.11948111304033382,0.12890606226212223,0.1387454562595614,0.14852933982838318,0.15652965845669886,52.0,0.6592587499347005,0.5967829627936144,77.0,0.6957862198458046,0.5906347062253255,27.0,0.4371734877567748,0.5980817126932534,0.5906347062253255,baseline
53,-0.5187437213503785,0.08753120347936699,0.24405077322222388,0.19719101550890902,0.4441491764368702,0.9279448003481409,53.792012834542845,0.17554244247708767,0.45511459563665013,0.7412883957180407,0.5546989461302614,0.09537909615465714,0.10181191935425188,0.11029869883488855,0.11944648217530336,0.12891462704402892,0.13880330316711806,0.14864361699562612,0.15670225627412598,53.0,0.6778874906250988,0.6003320001503643,78.0,0.6775886050349106,0.5952679007847713,28.0,0.4421982570692875,0.6041580207033621,0.5952679007847713,baseline
54,-0.5107952444382627,0.08736719383024662,0.24366311504580082,0.19694015145875202,0.44450252724202555,0.928461125394423,53.811072008435225,0.17522359978846652,0.4540457058159601,0.7411389033228332,0.5544715666495584,0.09523839580201136,0.10170175565674065,0.11022265740619928,0.11941053435724032,0.1289241295357829,0.13886300621014752,0.1487596691143528,0.1568798519175252,54.0,0.696657408243891,0.6039836904623795,79.0,0.6593780289323781,0.6000182278735107,29.0,0.44719747605875365,0.610367437679071,0.6000182278735107,baseline
55,-0.5027339746506612,0.08720042263380735,0.2432705847385645,0.1966848719416573,0.44486479289957714,0.9288940998366287,53.830540697119424,0.1748983973096136,0.4529620999649487,0.7409874141027838,0.554242385295211,0.09509533585514278,0.1015895360865145,0.1101443845944809,0.119372637079638,0.12893331348464676,0.13892494461525015,0.1488790618075745,0.15706078647675248,55.0,0.715593549064418,0.6077265788023614,80.0,0.6411574819720149,0.6048746849920656,30.0,0.4521778170845377,0.6166993544198491,0.6048746849920656,baseline
56,-0.4945719333733513,0.08703113153813671,0.24287379177989002,0.19642519212163323,0.44523589077935466,0.9292478430901937,53.850431095263104,0.17456761646405397,0.4518655084781148,0.7408341066823875,0.5540114949029146,0.0949497979044002,0.10147539421723303,0.11006456277532134,0.11933309275302072,0.12894126157066993,0.13898751602183138,0.14900193819512705,0.1572464365623962,56.0,0.720164059302031,0.6124151569588975,81.0,0.622929804166006,0.6098319001154713,31.0,0.45714436070803094,0.6231487698889254,0.6098319001154713,baseline
57,-0.48632046714312627,0.08685992951306003,0.2424733093492912,0.1961614758165756,0.445613820003983,0.929515738797323,53.87068594759864,0.17423155417194408,0.4507575342736307,0.7406790822122233,0.5537788194227807,0.09480215407605945,0.10135932174051614,0.1099834663591503,0.11929278255790568,0.12894845526238546,0.13904990132662343,0.14912676579684567,0.15743715288051388,57.0,0.7247883198434202,0.6171958890809535,82.0,0.6046977082233307,0.614884725384778,32.0,0.4621019093028695,0.6297108384110943,0.614884725384778,baseline
58,-0.47799159142965353,0.08668730783799071,0.24206973955939148,0.1958947099267149,0.4459964740115315,0.9297457336108871,53.891204267921744,0.17389106105119673,0.44963976833105324,0.7405225274843893,0.5535446237255974,0.09465303150789815,0.10124167841881675,0.1099010474964446,0.11925196373259632,0.12895580483271263,0.1391125763582401,0.14925262251241164,0.15763127514087977,58.0,0.7294672853120966,0.6220629293529111,83.0,0.5864637742889147,0.6200274105041728,33.0,0.4670551676133996,0.6363801007349138,0.6200274105041728,baseline
59,-0.46959097277721307,0.08651331936858768,0.24166337391339845,0.19562563250338388,0.4463833406909147,0.9299625363461279,53.911931364092936,0.17354723735105074,0.4485129562779893,0.7403646118384929,0.5533091304334425,0.09450273945188487,0.10112289305149903,0.1098174359652508,0.11921030384371464,0.12896328699673598,0.1391761995794431,0.1493796737683116,0.15782746734315997,59.0,0.7342016019648507,0.6270142107237435,84.0,0.5682304379753574,0.6252579635143224,34.0,0.47200784217899616,0.6431549574120315,0.6252579635143224,baseline
60,-0.4611210274031895,0.08633794464513211,0.24125434534098758,0.1953543332577561,0.4467746218783575,0.9301631140294817,53.93286561504442,0.1732006272065784,0.4473774661606303,0.740205414016017,0.5530724183845785,0.09435119102081822,0.10100314223693789,0.10973293061891605,0.11916776427059991,0.12897034997437046,0.13924054026315041,0.14950840730181125,0.1580256743133958,60.0,0.7389917378005021,0.6320496276538017,85.0,0.55,0.6305763557607921,35.0,0.47696310202131764,0.6500357837952697,0.6305763557607921,baseline
61,-0.4525845257220055,0.08616135120498836,0.24084280312911283,0.19508068597299105,0.4471699850640908,0.9303360805630592,53.95400866615224,0.1728512640137198,0.4462337401470209,0.7400449382380094,0.5528344542347547,0.09419835869400105,0.10088232727899,0.1096477175760722,0.11912466403344646,0.12897694735339968,0.13930499949163375,0.14963857379521647,0.15822641177724056,61.0,0.7438380782269208,0.6371688230679017,86.0,,,36.0,0.4803385048179925,0.6550844720758617,0.635982313035065,baseline
62,-0.4439856363598933,0.08598375559845024,0.24042896296413743,0.19480490909317894,0.4475686446650858,0.9304829666763212,53.975333028836225,0.17249929585012047,0.4450823571010922,0.7398832267255134,0.5525952843993269,0.09404445630846965,0.10076045278470928,0.10956172773482167,0.11908124746757442,0.12898347103933916,0.13936957874193132,0.14976958710254765,0.15842947882060682,62.0,0.7487409359344969,0.6423705144510179,87.0,,,37.0,0.48375007955172494,0.6602145539713086,0.6414746346719375,baseline
63,-0.43532826991214907,0.0858052384889072,0.24001302683179748,0.1945273715666967,0.4479702060792032,0.9306127146296146,53.99680962582046,0.17214510680343859,0.44392383638239186,0.739720366853889,0.5523550821769456,0.09388967351805241,0.10063769804864427,0.10947491325419277,0.11903738330133085,0.1289901257985764,0.13943463787796823,0.14990138187176735,0.15863418632946763,63.0,0.7537005130304532,0.6476535273114251,88.0,,,38.0,0.4872006526978782,0.6654247907100477,0.6470522244338075,baseline
64,-0.42661516701476676,0.0856257820965057,0.2395951394072617,0.1942481978626489,0.4483748440390494,0.9307212052495621,54.018434585226466,0.17178899408735743,0.44275856980597783,0.7395564450492872,0.5521139937177384,0.09373401774146112,0.1005141801211878,0.10938737611798706,0.11899291958995394,0.12899666239036064,0.13950028370614856,0.15003422302686759,0.15884033730603325,64.0,0.7587168922996838,0.653017392093348,89.0,,,39.0,0.49069281060573844,0.6707146605859403,0.6527146900444186,baseline
65,-0.41784952605767123,0.08544544896641475,0.23917546639162454,0.19396733560139037,0.4487826075449236,0.9307985208438802,54.04021336841838,0.1714310205854129,0.4415870309376255,0.7393915148111347,0.5518721118050437,0.0935774495372407,0.10038988606414967,0.10929922140073697,0.11894794372645248,0.12900289172649657,0.1395662215988223,0.1501681997259499,0.15904818622015138,65.0,0.7637900620334256,0.6584613022386453,90.0,,,40.0,0.49422909455254965,0.6760832729581792,0.6584613022386453,baseline
66,-0.4090356986967776,0.08526438353570359,0.23875422751942466,0.19368484651413231,0.44919316900177464,0.9308420415357983,54.06213826266502,0.17107123106292044,0.44040983548731705,0.7392256323834534,0.5516295295177017,0.09342005417342336,0.10026479234070897,0.10921045608024879,0.11890259354177383,0.12900893486207043,0.1396322765764972,0.1503030281677357,0.15925786425754174,66.0,0.7605189043358132,0.664290517593167,91.0,,,41.0,0.49781206374624853,0.681528903893497,0.664290517593167,baseline
67,-0.4001782798004833,0.08508269878518315,0.23833165268088927,0.19340097119232194,0.4496061668519756,0.9308570066143917,54.08418954261754,0.17070983250211835,0.4392276082275314,0.7390588837276264,0.551386391398985,0.09326198516049498,0.10013898603182696,0.10912105056886151,0.11885687310941268,0.12901493827742838,0.13969857730811083,0.15043851869335534,0.15946907085050938,67.0,0.7572513480870413,0.6702005521635604,92.0,,,42.0,0.5014441838441508,0.687049605339455,0.6702005521635604,baseline
68,-0.39128115720725287,0.08490044309752469,0.23790793659174128,0.19311590656311728,0.4500215006465592,0.9308458322454174,54.10635482247855,0.17034708232088674,0.438040883476882,0.7388913580722615,0.551142849745618,0.09310332191528596,0.1000125846478313,0.10903104889690039,0.11881069573116405,0.12902084816225912,0.1397652202716894,0.15057474401884136,0.15968153635602841,68.0,0.7539878414455203,0.676190013614785,93.0,,,43.0,0.505127731798411,0.6926438411860664,0.676190013614785,baseline
69,-0.38234786084264183,0.08471767111543925,0.23748325566375736,0.19282972112469898,0.4504391448058428,0.9308063991855394,54.12863080435938,0.16998314188270786,0.4368501637102865,0.7387231278549256,0.5508990144376293,0.09294408364600996,0.09988563747868902,0.10894054030285194,0.11876406772647648,0.1290265260401298,0.1398321001104595,0.15071175840838388,0.15989528628699948,69.0,0.7507288189996442,0.6822576811896915,94.0,,,44.0,0.508864840503323,0.6983102461077315,0.6822576811896915,baseline
70,-0.3733821053066873,0.08453448448424672,0.23705779387356682,0.1925424859715713,0.450858884205135,0.9307374901724192,54.15101068935749,0.16961811421296394,0.4356559746801628,0.7385542506928592,0.5506549698862024,0.09278432551028076,0.09975816046129056,0.10884957379849296,0.1187170816612444,0.12903197436355637,0.13989906289447684,0.15084944520747706,0.16011037610318105,70.0,0.7474747056786184,0.6884021404716519,95.0,,,45.0,0.5126575523725458,0.704047255693972,0.6884021404716519,baseline
71,-0.3643876784886913,0.08435098666917791,0.23663173740610505,0.1922543581382498,0.4512804119910183,0.9306416454054893,54.17348066192629,0.16925215559968598,0.43445883945144137,0.7383847902655877,0.5504108123586602,0.09262415219981458,0.0996302059384352,0.10875815968647326,0.11866978374741277,0.12903728643684587,0.13996610415216548,0.15098763174117144,0.1603266760976814,71.0,0.7442259150796696,0.6946218525871811,96.0,,,46.0,0.5320181212139335,0.70912290392157,0.6946218525871811,baseline
72,-0.3553680028191718,0.08416724467940259,0.23620525389115432,0.19196551128292516,0.45170352954972426,0.9305221343649643,54.1960274198604,0.16888547115342462,0.4332592281981119,0.7382148173285659,0.5501666519173465,0.09246365187237357,0.09950185941055159,0.10866632598411986,0.11862215402050073,0.12904247916272998,0.14003328960053368,0.1511262757521764,0.1605439641970142,72.0,0.7409828463153862,0.7009154568775033,97.0,,,47.0,0.5513774988371208,0.7142546756916561,0.7009154568775033,baseline
73,-0.34632605976524117,0.0839833089071285,0.2357784889949017,0.19167605091172316,0.4521281431640794,0.9303804920947759,54.218643724309715,0.16851823134858052,0.43205755904895876,0.73804439375257,0.549922582203701,0.09230286772651504,0.09937318318520812,0.10857413079974818,0.1185741850536389,0.1290474900708103,0.14010059401756983,0.151265401911308,0.1607621472352016,73.0,0.7377458841074769,0.7072818333565478,98.0,,,48.0,0.5707609143215651,0.7194411681243583,0.7072818333565478,baseline
