t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev
64,1,47.1162870622177,0.117125061254455,0.998842961956743,0.016501579228654,0.38326282685657,-0.000252199982055668,0.720363332594396,-0.00427055893789086,0.477288961573853,-0.00346117689416031
65,1,47.0934771519855,0.0943151510222435,0.998738881951498,0.0163974992234094,0.383266846657541,-0.000248180181084579,0.720508934624878,-0.00412495690740855,0.477390646971967,-0.00335949149604686
66,1,47.0934771519855,0.0943151510222435,0.999111372113212,0.0167699893851226,0.38326298064137,-0.000252046197255551,0.720646715512806,-0.00398717601948084,0.477543875497583,-0.00320626297043003
67,1,47.0934771519855,0.0943151510222435,0.999141124869007,0.0167997421409177,0.383263042062417,-0.000251984776209024,0.720821227025046,-0.00381266450724016,0.477646648814745,-0.00310348965326884
68,1,47.0934771519855,0.0943151510222435,0.999170883626543,0.0168295008984543,0.383259415310509,-0.000255611528116539,0.720996726107416,-0.00363716542487091,0.477738676486094,-0.00301146198191937
69,1,47.0934771519855,0.0943151510222435,0.999389047609349,0.0170476648812604,0.383256122215946,-0.000258904622679856,0.721160280166084,-0.00347361136620306,0.477803519579607,-0.00294661888840603
70,1,47.0934771519855,0.0943151510222435,0.999418790325677,0.0170774075975882,0.383254432882343,-0.000260593956282529,0.721315765429041,-0.00331812610324589,0.477866302746524,-0.00288383572148992
71,1,47.0934771519855,0.0943151510222435,0.999736607668039,0.0173952249399497,0.382906476992893,-0.00060854984573272,0.721450340385065,-0.00318355114722191,0.477851958406737,-0.00289818006127601
72,1,47.0934771519855,0.0943151510222435,0.999865853980027,0.0175244712519382,0.382836577619752,-0.000678449218874,0.721569014719218,-0.003064876813069,0.477885718621125,-0.00286441984688801
73,1,47.0934771519855,0.0943151510222435,0.999918820333325,0.0175774376052362,0.382791698310767,-0.000723328527858891,0.72167711020034,-0.00295678133194621,0.477918453902581,-0.00283168456543204
74,1,47.0934771519855,0.0943151510222435,1.00015079610191,0.0178094133738178,0.382790144013775,-0.000724882824851447,0.72176995885795,-0.00286393267433693,0.477942663851464,-0.00280747461654945
75,1,47.0934771519855,0.0943151510222435,1.00037105642689,0.0180296736988041,0.38278915423089,-0.000725872607736322,0.72185268374425,-0.0027812077880367,0.477983494595816,-0.00276664387219705
76,1,47.0934771519855,0.0943151510222435,1.00018360681939,0.0178422240913028,0.382788055316103,-0.000726971522523434,0.721919076258433,-0.00271481527385364,0.478019856148735,-0.00273028231927858
77,1,47.0934771519855,0.0943151510222435,1.00041217166096,0.0180707889328715,0.382787039944869,-0.000727986893757193,0.721969639654874,-0.00266425187741226,0.47805199234392,-0.00269814612409391
78,1,47.0934771519855,0.0943151510222435,1.00014419855589,0.0178028158278036,0.382785556370388,-0.00072947046823757,0.722014126769535,-0.00261976476275205,0.478076844888378,-0.0026732935796358
79,1,47.0934771519855,0.0943151510222435,1.00008722338285,0.0177458406547635,0.382785115946035,-0.000729910892590724,0.722047695232271,-0.00258619630001544,0.478105880069901,-0.00264425839811289
