year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age
2100,low_immigration,0.266045829887082,0.370981959151575,0.349178553119518,0.0137936578418253,52.1796614354714
2020,medium_immigration,0.31886598407606,0.383868770453639,0.291250211726979,0.0060150337433209,49.5040238818664
2021,medium_immigration,0.318413705093974,0.380356332178792,0.295014759286662,0.00621520344057336,49.6060054008664
2022,medium_immigration,0.317968115031207,0.376895759772462,0.298723708859821,0.00641241633650841,49.7064806470251
2023,medium_immigration,0.317529045662669,0.373485929681351,0.302378285344594,0.00660673931138552,49.8054832057641
2024,medium_immigration,0.317096373440077,0.370125718455318,0.305979674440901,0.00679823366370394,49.9030447017209
2025,medium_immigration,0.316669956768509,0.366814051836025,0.309529030457215,0.00698696093825041,49.9991965204611
2026,medium_immigration,0.315405146575553,0.367275201701207,0.309943975144682,0.00737567657855822,50.0555088217958
2027,medium_immigration,0.314152846255314,0.367731793510943,0.310354811399298,0.00776054883444437,50.1112642016156
2028,medium_immigration,0.31291286975059,0.368183890123625,0.310761606382266,0.0081416337435197,50.1664709200201
2029,medium_immigration,0.311685029471742,0.36863156185936,0.311164419486225,0.00851898918267301,50.2211372148837
2030,medium_immigration,0.310469154526731,0.369074865552124,0.311563312846218,0.00889266707492817,50.2752709214009
2031,medium_immigration,0.308862022578101,0.371617612480378,0.310361993470815,0.00915837147070559,50.2937749848994
2032,medium_immigration,0.307268065172471,0.374139508032562,0.309170530809959,0.00942189598500805,50.3121276170529
2033,medium_immigration,0.305687127768889,0.376640808727302,0.307988793612055,0.00968326989175335,50.3303301387043
2034,medium_immigration,0.304119055088015,0.379121755849189,0.30681667356398,0.00994251549881612,50.3483845526336
2035,medium_immigration,0.302563674614341,0.381582608989884,0.305654053415348,0.0101996629804273,50.3662931450651
2036,medium_immigration,0.301506749844363,0.38386374568941,0.304192906341232,0.0104365981249948,50.3808217971257
2037,medium_immigration,0.300454657865201,0.386134444698115,0.302738447488792,0.0106724499478928,50.395284061859
2038,medium_immigration,0.299407381998172,0.388394776118146,0.30129061698055,0.0109072249031326,50.4096799558222
2039,medium_immigration,0.29836485735813,0.39064482269919,0.299849390936088,0.0111409290065918,50.4240107653401
2040,medium_immigration,0.297327083700321,0.392884634819615,0.298414708990492,0.0113735724895724,50.4382761950703
2041,medium_immigration,0.296284625460294,0.393995467696537,0.298292930215669,0.0114269766274991,50.4586805105836
2042,medium_immigration,0.295246356326899,0.395101856407939,0.298171621409823,0.0114801658553389,50.4790025297447
2043,medium_immigration,0.294212257986236,0.396203793783216,0.298050806117913,0.0115331421126354,50.4992429667618
2044,medium_immigration,0.293182300020861,0.397301313482955,0.297930481094208,0.0115859054019753,50.5194026496461
2045,medium_immigration,0.292156463467602,0.398394453720351,0.297810624037858,0.0116384587741888,50.5394813169841
