year,share_18_39,share_40_59,share_60_79,share_80_plus,adult_share_sum
2031,0.3656462234798391,0.3063772827192979,0.25635252853185353,0.07162396526900941,1.0
2032,0.36252780975247045,0.3079822716059616,0.25507773920537913,0.0744121794361894,1.0000000000000007
2033,0.35936638190118697,0.30977458939591485,0.2537376378810857,0.07712139082181288,1.0000000000000004
2034,0.35629864784896087,0.31154526840910624,0.2523212765420625,0.0798348071998701,0.9999999999999998
2035,0.3533878912770476,0.3131488200490442,0.2508374621096013,0.08262582656430688,0.9999999999999999
2036,0.3509277242658605,0.31468364920268327,0.2487561670033294,0.08563245952812652,0.9999999999999997
2037,0.34881983289056134,0.3159813056429332,0.2467468343380662,0.0884520271284396,1.0000000000000004
2038,0.3469984720279899,0.3170237294059413,0.24486625120947597,0.09111154735659287,1.0
2039,0.34531618951058546,0.3178413621184266,0.24322087826838215,0.09362157010260624,1.0000000000000004
2040,0.3436613107107679,0.31844634735763505,0.24187523090278026,0.09601711102881684,1.0
2041,0.34229059678540014,0.31894635280244915,0.24031544279442763,0.09844760761772321,1.0000000000000002
2042,0.34109633640913933,0.3192176513607531,0.23916590301902607,0.10052010921108125,0.9999999999999998
2043,0.3399851143095305,0.31929726687099674,0.23845225844923681,0.1022653603702361,1.0000000000000002
2044,0.33883971093301263,0.31922656098142943,0.23821855131507766,0.10371517677047984,0.9999999999999996
2045,0.3375566044709005,0.3190091662726285,0.2384679916721943,0.10496623758427664,1.0
2046,0.33636459185134104,0.31880176364683843,0.23872353431299637,0.10611011018882403,0.9999999999999998
2047,0.3351632079407576,0.31853835637577116,0.2395195348817389,0.1067789008017327,1.0000000000000004
2048,0.33396790107981394,0.318105132084375,0.2407670406170681,0.1071599262187431,1.0000000000000002
2049,0.33284064249265877,0.31733793930679,0.24239392585255065,0.10742749234800024,0.9999999999999997
2050,0.3317923389924397,0.3161457638678434,0.24433422510316027,0.1077276720365567,1.0
2051,0.3310453545525681,0.31474902233006197,0.24616247444623746,0.10804314867113211,0.9999999999999997
2052,0.3305287083947802,0.31301645980679815,0.24838250384584576,0.1080723279525756,0.9999999999999997
2053,0.33015795086516464,0.31107124347847853,0.25080820780595103,0.10796259785040573,1.0
2054,0.3298012597477627,0.3091097246007201,0.25321726134779216,0.10787175430372552,1.0000000000000004
2055,0.32933759380771493,0.30724469510337094,0.25545014271818733,0.1079675683707272,1.0000000000000004
2056,0.32904300683016785,0.3056727732863028,0.2571454073937144,0.1081388124898143,0.9999999999999993
