candidate_id,birth_utility_1,birth_utility_2,birth_utility_3,child_utility,birth_cost,birth_price_coeff,lambda_crowd,birth_rate_p15,birth_rate_p20,birth_rate_p25,birth_rate_p30,birth_decline,vote_p15,vote_p20,vote_p25,vote_p30,vote_sign_changes,vote_low_positive,vote_high_negative,vote_cross,mass_error,share_parity_0,share_parity_1,share_parity_2,share_parity_3plus,parity_rmse,share_home_any_40,share_home_any_50,mean_home_children_40,mean_home_children_50,demo_score,benchmark_score,stage1_demo_rank,stage1_benchmark_rank
27,1.3191426983641,1.3884748308412,1.65074006840439,0.0681497018469357,0.0181856490148818,0.526298813562328,0.142738406289809,0.806800549702982,0.766167781949461,NaN,0.0860643223002485,0.720736227402733,-0.18263157427756,-0.153130174603807,NaN,-0.314836057923172,0,0,1,0,1.4210854715202e-14,0.000815815988201175,0.00828388225068751,0.0553420014029336,0.935558300358178,0.379242712757446,0.99711255814002,0.994938755046943,2.06630332886225,2.56403152650816,-39.2097183122748,-38.9889820848721,NaN,NaN
28,1.1779019942868,1.84998725693904,2.11211969147596,0.0141799978293404,0.138093727743193,0.277024133062577,0.295582166432628,0.800445734367915,0.728620274596523,NaN,0.426197850777855,0.37424788359006,-0.0583052189844775,-0.0651353328207727,NaN,-0.366622996019023,0,0,1,0,8.88178419700125e-15,0.0934007426440057,0.0434521085555265,0.174146414193467,0.689000734607001,0.236718742865199,0.916717440629944,0.888861309968688,1.70416870245211,2.13370525387212,-23.999183309667,-24.124935426077,NaN,NaN
29,1.25282178675794,1.32052524521008,1.50311776349858,0.0389170602185673,0.164219266559493,0.28677839978325,0.301422708840559,0.548850374782266,0.41658741028422,NaN,0.153392405583321,0.395457969198945,-0.0132700795196156,-0.00286679620874764,NaN,-0.310397903995857,0,0,1,0,1.06581410364015e-14,0.398790276866863,0.350706309510373,0.139710630744459,0.110792782878305,0.198174164629009,0.463777175500232,0.505197576196519,0.664203996097856,0.780131384636559,-24.9280480860411,-25.0325901168422,NaN,NaN
30,0.751895286186665,1.40515749415226,1.32920914448968,0.0534990160685586,0.105180684459427,0.400700142997411,0.150143877724589,0.745909749302125,0.627925844266936,NaN,0.0181079748880685,0.727801774414056,-0.0887891139073339,-0.15824389526176,NaN,-0.311304757615965,0,0,1,0,1.4210854715202e-14,0.0565923984367476,0.0374418746990111,0.329018105077259,0.576947621786982,0.174618826830326,0.944608082409892,0.921285479763523,1.72469875562471,2.08628093805394,-19.0101188385383,-18.7823170641243,NaN,NaN
31,0.725748441948426,1.18813572502297,1.48137804968962,0.0106145910218439,0.154235971966712,0.520967506017559,0.33918391411722,0.00815391869657437,0.00129864710817617,NaN,3.91866476223771e-05,0.00811473204895199,0.11939270951124,0.0297124549702326,NaN,-0.310397903995856,1,1,1,1,2.1316282072803e-14,0.99900851269472,0.000969806329253416,1.92567465202011e-05,2.42422950679515e-06,0.485052745528089,0.000629178379540685,0.000737462125621313,0.000644768947779269,0.000754319582250521,-59.6733768192386,-57.1652620871897,NaN,NaN
32,1.33524121608158,1.97226037848479,2.3216314677812,0.0786512039892897,0.160601423906855,0.213444686490776,0.189845244941297,0.827292810356454,0.825219513644699,NaN,0.819055928378943,0.00823688197751138,0.037332586342616,-0.039078110548368,NaN,-0.337481790100365,1,1,1,1,8.88178419700125e-15,5.34176603153634e-11,1.09291460393544e-08,4.85509681612491e-05,0.999951438049275,0.419238563200709,0.99999999482317,0.999998459268025,2.05037910232634,2.637535249544,-42.7817569777409,-40.2735200957634,NaN,NaN
33,0.74481909343611,1.05661909401411,0.991327861258372,4.170211561628e-05,0.111944651556228,0.314940677980283,0.154184724674106,0.296679191537412,0.12260158134572,NaN,0.013442301688203,0.283236889849209,0.0785377303658311,0.0010605385120413,NaN,-0.310397903995857,1,1,1,1,1.77635683940025e-14,0.816809334538198,0.135515065184008,0.0430312793474876,0.00464432093030564,0.389016577621292,0.147029252013017,0.144376716073131,0.1681484503905,0.180780864595178,-45.6436785228237,-42.8604416329745,NaN,NaN
34,1.30716409038256,1.69511230332367,2.01869678843203,0.0240526807186532,0.140001302922321,0.23294420108612,0.20688799999947,0.826101376352278,0.821463863668259,NaN,0.795443581545868,0.0306577948064104,0.0363864778149167,-0.0546893572583203,NaN,-0.345708391666641,1,1,1,1,7.105427357601e-15,5.32708122934841e-05,0.000671838525438487,0.016809101847701,0.982465788814567,0.408162320320697,0.999784413562593,0.99921861776157,2.02629986132556,2.61933819041315,-41.8322190932214,-39.301561298415,NaN,NaN
35,1.39633339779783,2.06489137387397,2.39459968071818,0.0470038077985397,0.10513135526024,0.262962164045024,0.325946605300535,0.830005742470922,0.827105300191044,NaN,0.812410670504027,0.0175950719668957,-0.0511379843494634,-0.0536659179738213,NaN,-0.344783901753693,0,0,1,0,7.105427357601e-15,1.10254251090038e-05,6.7138032751673e-05,0.00485436717263338,0.995067469369506,0.416127026499826,0.999977126107928,0.999815327557563,2.03184368059849,2.63257050223218,-42.5178903711485,-43.0002952991816,NaN,NaN
36,1.38617364742827,1.95123735570314,1.75533814699131,0.00959649799028234,0.101579010395096,0.24154252565096,0.282725285176518,0.733964491393998,0.703611566369579,NaN,0.571463838193201,0.162500653200798,-0.0562783794903234,-0.0876996509401926,NaN,-0.386940679341784,0,0,1,0,1.4210854715202e-14,0.0180578051029321,0.0518501322658767,0.603621996932568,0.326470065698623,0.161289700169124,0.96668448407482,0.948786851965988,1.43555141402277,1.88738297130492,-18.0316353617811,-18.3691347085803,NaN,NaN
37,1.28590172611872,1.61243047607034,1.93894288006614,0.0691047163563976,0.0305123134122138,0.24814215813351,0.121313721780572,0.825822652893974,0.822884578134354,NaN,0.813687664741498,0.0121349881524764,-0.0476158134609812,-0.0526456514068766,NaN,-0.335036879881013,0,0,1,0,8.88178419700125e-15,1.08394870390503e-10,6.50545658439296e-08,0.000139106869039797,0.999860827968,0.419180651766781,0.999999981504797,0.999995574918321,2.05878752549388,2.63744458812777,-42.7768779786656,-43.2647429905131,NaN,NaN
