t,birthrate_index,average_age,average_age_dev,house_price_index,house_price_dev,young_homeownership,young_homeownership_dev,old_homeownership,old_homeownership_dev,aggregate_homeownership,aggregate_homeownership_dev,boom_generation_homeownership_index,child_generation_homeownership_index,parent_generation_homeownership_index,boom_generation_networth_index,child_generation_networth_index,parent_generation_networth_index,boom_generation_consumption_index,child_generation_consumption_index,parent_generation_consumption_index,boom_generation_housing_index,child_generation_housing_index,parent_generation_housing_index
33,1,47.2150878136073,0.215925812643988,1.01108519878164,0.0287438160535556,0.381616158424614,-0.00189886841401171,0.720864540565294,-0.00376935096699227,0.474516780209529,-0.00623335825848403,0.987323638126682,0.960176495382554,NaN,1.00206043804433,0.994486394126996,NaN,1.00352628970146,1.0008099034462,NaN,0.990698566462301,0.960176495382554,NaN
34,1,47.2260458126641,0.226883811700858,1.00984662088951,0.0275052381614249,0.381627820618545,-0.00188720622008054,0.720430508311532,-0.0042033832207542,0.474318113737889,-0.00643202473012416,0.991462186858254,0.959342580922922,NaN,1.00159823662976,0.994421066993711,NaN,1.00244967582583,1.00088715688754,NaN,0.993694220934781,0.959342580922922,NaN
35,1,47.2357901028812,0.236628101917901,1.00986686922132,0.0275254864932328,0.381635909819628,-0.0018791170189984,0.720056201229095,-0.00457769030319155,0.474151219965378,-0.00659891850263594,0.992856688231837,0.964827645064597,NaN,1.00159216287292,0.99468353553142,NaN,1.00219693920379,1.0009435579494,NaN,0.994728498366072,0.964827645064596,NaN
36,1,47.244464462756,0.245302461792754,1.00882060676009,0.0264792240319984,0.381644802577435,-0.00187022426119104,0.719742897911633,-0.00489099362065393,0.474156490115759,-0.00659364835225468,0.993931701261215,0.970295131803654,NaN,1.0010738922012,0.994895925243921,NaN,1.0016412616303,1.00097016622183,NaN,0.99549806670535,0.970295131803654,NaN
37,1,47.252289445456,0.253127444492762,1.00819706176307,0.0258556790349798,0.381659358335817,-0.00185566850280927,0.719427659233155,-0.00520623229913142,0.474065930015083,-0.00668420845293044,0.994611357811657,0.974997598461418,NaN,1.00074124022718,0.995131769226508,NaN,1.00136747754016,1.00101596288359,NaN,0.995992591359972,0.974997598461418,NaN
38,1,47.2595124799236,0.260350478960362,1.00804923647906,0.0257078537509747,0.381675234667995,-0.00183979217063096,0.718814760046168,-0.00581913148611901,0.473919388140999,-0.00683075032701486,0.994725937802806,0.978908162834589,NaN,1.00055692091782,0.995391985729897,NaN,1.001181137204,1.0010620328916,NaN,0.996045013614386,0.978908162834589,NaN
39,1,47.2663236858665,0.267161684903279,1.00728983597099,0.0249484532429058,0.381690511226229,-0.00182451561239666,0.718547616745117,-0.00608627478716972,0.474751762059137,-0.00599837640887596,0.994796009430182,0.981845054401472,NaN,1.00016735930186,0.995525666178887,NaN,1.00094279203148,1.00106230321286,NaN,0.996104641995356,0.981845054401472,NaN
40,1,47.2729184251861,0.27375642422281,1.00729584982467,0.0249544670965762,0.38169957401389,-0.00181545282473566,0.718339669693687,-0.00629422183859951,0.474754402747694,-0.00599573572031958,0.994909639286173,0.985702336730389,NaN,1.00011080221342,0.995818013114519,NaN,1.00086133134699,1.00107575709882,NaN,0.996184443770701,0.985702336730389,NaN
41,1,47.2794390410877,0.28027704012446,1.00711292831018,0.0247715455820887,0.381706523950231,-0.00180850288839535,0.718520445799835,-0.00611344573245143,0.474808029959345,-0.00594210850866894,0.995402178875085,0.988478754614064,NaN,0.999993919197149,0.995996138288735,NaN,1.00066908834965,1.00103222840879,NaN,0.996554152019144,0.988478754614064,NaN
42,1,47.2859403370232,0.286778336059896,1.00692996989667,0.02458858716858,0.381711793488267,-0.00180323335035865,0.718494261099679,-0.00613963043260812,0.474839261324733,-0.00591087714328037,0.99517978223355,0.989723363715962,NaN,0.999848745511897,0.996077887252242,NaN,1.00064108143139,1.00103645411603,NaN,0.996394730324331,0.989723363715626,NaN
43,1,47.2924386573537,0.29327665639039,1.00693598172109,0.024594598992997,0.381716168194685,-0.00179885864394108,0.718421565066344,-0.00621232646594294,0.474849386461841,-0.00590075200617224,0.995119958336851,0.990257959239492,NaN,0.999778730831144,0.996183208545295,NaN,1.00068827511208,1.00105299478894,NaN,0.996355047380924,0.990257959220834,NaN
44,1,47.2990034320266,0.299841431063342,1.00675312192978,0.0244117392016867,0.381721323765454,-0.0017937030731715,0.718379400355875,-0.00625449117641153,0.474848749741285,-0.0059013887267283,0.994983104045458,0.990950226688484,NaN,0.999623447026531,0.996256980984328,NaN,1.0006787448663,1.00100154261373,NaN,0.996257179496355,0.990950226029937,NaN
45,1,47.3056792588075,0.306517257844199,1.00657022525189,0.024228842523804,0.381724653526761,-0.00179037331186532,0.718351356016132,-0.00628253551615454,0.474835926268567,-0.00591421219944649,0.994671545995273,0.992263320555218,NaN,0.999446333846605,0.996404876532107,NaN,1.00070247872066,1.00079150052162,NaN,0.996033074310945,0.992263317347423,NaN
46,1,47.3123539841738,0.313191983210537,1.00638729168,0.0240459089519087,0.381728873590013,-0.00178615324861303,0.718329580635761,-0.00630431089652594,0.474827806929591,-0.00592233153842286,0.994342930987117,0.993106556750836,NaN,0.99927477282936,0.99650106272842,NaN,1.00056899477566,1.00070777950814,NaN,0.995793900056911,0.993106547582605,NaN
47,1,47.3188232585228,0.319661257559488,1.00586126364566,0.0235198809175676,0.381731122967962,-0.00178390387066441,0.718668129557254,-0.0059657619750324,0.474885109931552,-0.0058650285364617,0.994486638049011,0.993691572050751,NaN,0.998986861559864,0.996469778055664,NaN,1.0003362741577,1.00054303891894,NaN,0.995894149836059,0.99369155226495,NaN
48,1,47.3248908723934,0.325728871430108,1.00581252092458,0.0234711381964929,0.38173600778024,-0.00177901905838646,0.71868730057023,-0.00594659096205663,0.474900149826637,-0.00584998864137598,0.99426802771861,0.988263741777382,NaN,0.99888010751721,0.996303976384345,NaN,1.00026236810896,1.00114072405935,NaN,0.995735644617468,0.988263713125457,NaN
49,1,47.3304922087546,0.331330207791289,1.00528944975281,0.022948067024726,0.381834918434546,-0.00168010840408039,0.718734504046428,-0.00589938748585872,0.474924111026425,-0.00582602744158872,0.994035892144294,0.987918120519403,NaN,0.998559261930676,0.996286935521854,NaN,1.00014570433122,1.00117899964692,NaN,0.995569502966179,0.987918077233836,NaN
50,1,47.3355788885038,0.336416887540544,1.00476627306686,0.0224248903387696,0.381864421410459,-0.00165060542816692,0.71878474845314,-0.00584914307914708,0.47550841104337,-0.00524172742464379,0.993787700250048,0.994359904329208,NaN,0.998196667709337,0.996561801446217,NaN,1.00016939242454,1.00028264986637,NaN,0.995399468547138,0.994359831597375,NaN
51,1,47.3397812362355,0.340619235272264,1.00405452803014,0.0217131453020465,0.381899109927656,-0.00161591691096952,0.718899484243056,-0.00573440728923014,0.475679432144225,-0.0050707063237882,0.994116093275852,0.994816366434424,NaN,0.997749225926229,0.996427548890278,NaN,0.999792322581908,1.00008081259108,NaN,0.99565007271014,0.994816267509878,NaN
52,1,47.3425616127985,0.343399611835245,1.00353163335819,0.0211902506300969,0.381928459655867,-0.00158656718275946,0.718961459863789,-0.00567243166849807,0.475790291948774,-0.00495984651923964,0.994029241629112,0.995092627349847,NaN,0.997332764380071,0.996393447187673,NaN,0.999626204432292,0.999926711194907,NaN,0.995594607168802,0.995092506970978,NaN
53,1,47.3435054678232,0.344343466859897,1.00300863320765,0.0206672504795629,0.381944434865078,-0.00157059197354781,0.719027961439173,-0.00560593009311328,0.475895767156167,-0.00485437131184657,0.99394088400075,0.995484851572925,NaN,0.996847581409169,0.99637282675434,NaN,0.999544331480265,0.999749145691335,NaN,0.995547018653071,0.99548471153974,NaN
54,1,47.3425097307968,0.343347729833532,1.00248602039769,0.0201446376696051,0.382420694083541,-0.00109433275508491,0.719096937394292,-0.00553695413799415,0.476094605001629,-0.00465553346638414,0.993747908947505,0.995871876385077,NaN,0.996222594454817,0.996343083898178,NaN,0.999688159271995,0.999609972377579,NaN,0.995417665198505,0.995871714509543,NaN
55,1,47.3425097307968,0.343347729833532,1.00180800763484,0.0194666249067541,0.382453899647257,-0.00106112719136858,0.719160403044614,-0.00547348848767271,0.476237858757123,-0.00451227971088997,0.993576461603923,0.9962583206055,NaN,0.995718122692284,0.99624361484577,NaN,0.997846376501025,0.999396175134214,NaN,0.995304038514385,0.996257347208352,NaN
56,1,47.3182271185021,0.319065117538848,1.00131879468418,0.0189774119560899,0.382481867778849,-0.00103315905977663,0.719317937061586,-0.00531595447070066,0.476363639667583,-0.00438649880042996,NaN,0.996554698310147,NaN,NaN,0.996241685022185,NaN,NaN,0.999208000232874,NaN,NaN,0.996553480474634,NaN
57,1,47.2932387610345,0.294076760071263,1.00082948304922,0.0184881003211337,0.382505835231847,-0.00100919160677937,0.719450758180692,-0.0051831333515947,0.476490380712998,-0.00425975775501525,NaN,0.996790686491884,NaN,NaN,0.996242034249948,NaN,NaN,0.999027414537169,NaN,NaN,0.99678924814362,NaN
58,1,47.2678121374199,0.268650136456671,1.00034007271007,0.0179986899819813,0.382678683786693,-0.000836343051932975,0.719492860413526,-0.00514103111876085,0.476610550984773,-0.00413958748324,NaN,0.996971436996212,NaN,NaN,0.996236394186375,NaN,NaN,0.998897464029679,NaN,NaN,0.996970519130293,NaN
59,1,47.2421871244044,0.243025123441114,0.999851024834452,0.0175096421063631,0.382711804181808,-0.000803222656817537,0.719564793800717,-0.00506909773156994,0.476716443799228,-0.00403369466878528,NaN,0.997126273646115,NaN,NaN,0.996236548039051,NaN,NaN,0.998754855600966,NaN,NaN,0.997125362129747,NaN
60,1,47.2164370577228,0.217275056759533,0.99936187830784,0.0170204955797512,0.38308709622944,-0.000427930609186056,0.719723627241313,-0.00491026429097352,0.476894557262011,-0.0038555812060021,NaN,0.997307672663062,NaN,NaN,0.996240773680426,NaN,NaN,0.998640752307936,NaN,NaN,0.99730674951222,NaN
61,1,47.1906444321888,0.19148243122558,0.999160677850307,0.0168192951222181,0.383184611316715,-0.000330415521911431,0.719886236747317,-0.00474765478496941,0.477024399336824,-0.00372573913118962,NaN,0.997447169134587,NaN,NaN,0.996369430965368,NaN,NaN,0.998572351148924,NaN,NaN,0.997446224874691,NaN
62,1,47.165103411397,0.165941410433767,0.998959781297263,0.0166183985691737,0.383247530716825,-0.000267496121801214,0.720050226329519,-0.00458366520276743,0.477093613381243,-0.00365652508677028,NaN,0.997575604214243,NaN,NaN,0.996481949371266,NaN,NaN,0.99856370896868,NaN,NaN,0.997574635729878,NaN
63,1,47.1402088569847,0.141046856021433,0.998758554642711,0.0164171719146224,0.383261002121307,-0.000254024717319001,0.720210367903196,-0.00442352362909093,0.477191348126731,-0.00355879034128254,NaN,0.997701532821868,NaN,NaN,0.996594672117567,NaN,NaN,0.998473124327299,NaN,NaN,0.997700535959483,NaN
64,1,47.1162870622177,0.117125061254455,0.998842961956743,0.016501579228654,0.38326282685657,-0.000252199982055668,0.720363332594396,-0.00427055893789086,0.477288961573853,-0.00346117689416031,NaN,0.997814543887595,NaN,NaN,0.996814716350755,NaN,NaN,0.998490668573989,NaN,NaN,0.997813502906366,NaN
65,1,47.0934771519855,0.0943151510222435,0.998738881951498,0.0163974992234094,0.383266846657541,-0.000248180181084579,0.720508934624878,-0.00412495690740855,0.477390646971967,-0.00335949149604686,NaN,0.997914098988541,NaN,NaN,0.996948464776102,NaN,NaN,0.998417614406868,NaN,NaN,0.99791294280396,NaN
66,1,47.0934771519855,0.0943151510222435,0.999111372113212,0.0167699893851226,0.38326298064137,-0.000252046197255551,0.720646715512806,-0.00398717601948084,0.477543875497583,-0.00320626297043003,NaN,0.997996622352475,NaN,NaN,0.997245106410785,NaN,NaN,0.998489850539488,NaN,NaN,0.99799535420122,NaN
67,1,47.0934771519855,0.0943151510222435,0.999141124869007,0.0167997421409177,0.383263042062417,-0.000251984776209024,0.720821227025046,-0.00381266450724016,0.477646648814745,-0.00310348965326884,NaN,0.998081243297806,NaN,NaN,0.997375555478315,NaN,NaN,0.998507366598148,NaN,NaN,0.998079871015917,NaN
68,1,47.0934771519855,0.0943151510222435,0.999170883626543,0.0168295008984543,0.383259415310509,-0.000255611528116539,0.720996726107416,-0.00363716542487091,0.477738676486094,-0.00301146198191937,NaN,0.998150454533165,NaN,NaN,0.997486552347714,NaN,NaN,0.998533176435327,NaN,NaN,0.998148989305696,NaN
