Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,2013
2. Rows with zero Births are hidden. Use Quick Options above to show zero rows.,,,,,,,,2013
3. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,2013
---,,,,,,,,2013
Caveats:,,,,,,,,2013
1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:,,,,,,,,2013
http://wonder.cdc.gov/wonder/help/natality.html#Assurance of Confidentiality.,,,,,,,,2013
2. Each birth record represents one liveborn infant.,,,,,,,,2013
,Alabama,01,2014,2014,Under 15 years,15-,63,2014
,Alabama,01,2014,2014,15 - 17 years,15-17,1250,2014
,Alabama,01,2014,2014,18 - 19 years,18-19,2934,2014
,Alabama,01,2014,2014,20-24 years,20-24,8871,2014
,Alabama,01,2014,2014,25-29 years,25-29,6537,2014
,Alabama,01,2014,2014,30-34 years,30-34,3381,2014
,Alabama,01,2014,2014,35-39 years,35-39,978,2014
,Alabama,01,2014,2014,40-44 years,40-44,157,2014
,Alaska,02,2014,2014,15 - 17 years,15-17,135,2014
,Alaska,02,2014,2014,18 - 19 years,18-19,405,2014
,Alaska,02,2014,2014,20-24 years,20-24,1445,2014
,Alaska,02,2014,2014,25-29 years,25-29,1145,2014
,Alaska,02,2014,2014,30-34 years,30-34,740,2014
,Alaska,02,2014,2014,35-39 years,35-39,218,2014
,Alaska,02,2014,2014,40-44 years,40-44,51,2014
,Arizona,04,2014,2014,Under 15 years,15-,48,2014
,Arizona,04,2014,2014,15 - 17 years,15-17,1634,2014
,Arizona,04,2014,2014,18 - 19 years,18-19,3803,2014
,Arizona,04,2014,2014,20-24 years,20-24,10193,2014
,Arizona,04,2014,2014,25-29 years,25-29,7875,2014
,Arizona,04,2014,2014,30-34 years,30-34,5227,2014
,Arizona,04,2014,2014,35-39 years,35-39,1894,2014
,Arizona,04,2014,2014,40-44 years,40-44,370,2014
,Arizona,04,2014,2014,45-49 years,45-49,30,2014
,Arkansas,05,2014,2014,Under 15 years,15-,43,2014
,Arkansas,05,2014,2014,15 - 17 years,15-17,867,2014
,Arkansas,05,2014,2014,18 - 19 years,18-19,2227,2014
,Arkansas,05,2014,2014,20-24 years,20-24,5671,2014
,Arkansas,05,2014,2014,25-29 years,25-29,3835,2014
,Arkansas,05,2014,2014,30-34 years,30-34,2124,2014
,Arkansas,05,2014,2014,35-39 years,35-39,603,2014
,Arkansas,05,2014,2014,40-44 years,40-44,116,2014
,Arkansas,05,2014,2014,45-49 years,45-49,10,2014
,California,06,2014,2014,Under 15 years,15-,224,2014
,California,06,2014,2014,15 - 17 years,15-17,6741,2014
,California,06,2014,2014,18 - 19 years,18-19,15833,2014
,California,06,2014,2014,20-24 years,20-24,49673,2014
,California,06,2014,2014,25-29 years,25-29,50851,2014
,California,06,2014,2014,30-34 years,30-34,48135,2014
,California,06,2014,2014,35-39 years,35-39,19677,2014
,California,06,2014,2014,40-44 years,40-44,4479,2014
,California,06,2014,2014,45-49 years,45-49,400,2014
,California,06,2014,2014,50 years and over,50+,47,2014
,Colorado,08,2014,2014,Under 15 years,15-,27,2014
,Colorado,08,2014,2014,15 - 17 years,15-17,827,2014
,Colorado,08,2014,2014,18 - 19 years,18-19,2033,2014
,Colorado,08,2014,2014,20-24 years,20-24,6760,2014
,Colorado,08,2014,2014,25-29 years,25-29,7473,2014
,Colorado,08,2014,2014,30-34 years,30-34,6439,2014
,Colorado,08,2014,2014,35-39 years,35-39,2443,2014
,Colorado,08,2014,2014,40-44 years,40-44,463,2014
,Colorado,08,2014,2014,45-49 years,45-49,37,2014
,Connecticut,09,2014,2014,Under 15 years,15-,14,2014
,Connecticut,09,2014,2014,15 - 17 years,15-17,363,2014
,Connecticut,09,2014,2014,18 - 19 years,18-19,857,2014
,Connecticut,09,2014,2014,20-24 years,20-24,3288,2014
,Connecticut,09,2014,2014,25-29 years,25-29,4479,2014
,Connecticut,09,2014,2014,30-34 years,30-34,4501,2014
